n,fne_min_delta_A,fne_min_delta_B,fne_viol_A,fne_viol_B,rA,rB,augmented_residual,inner_residual,inner_iterations
606,1.7323144178780372e-05,1.8655580476595612e-07,0,0,-0.0091963623229576186,-3.3306690738754696e-16,-0.35124133311420636,1.2928269211656323e-05,20
607,0.00037830023433738585,4.4032908125347141e-06,0,0,-0.0083284797803875321,4.1078251911130792e-15,-0.32230131258564043,1.239034938239919e-05,20
608,0.00019289855557255099,1.259191496886567e-06,0,0,-0.0072507121141747177,5.5511151231257827e-16,-0.28574982324754217,1.1673671974090661e-05,20
609,0.0014035490241788488,8.214735355864137e-06,0,0,-0.0059755313077491934,4.9682480351975755e-15,-0.24161267048283364,1.0742566635550279e-05,20
610,6.2622523157812235e-05,1.9315000817651428e-05,0,0,-0.0045549840635210614,-4.9960036108132044e-15,-0.19114557404028432,9.5648499560612047e-06,20
611,0.00023084483155956737,8.1999646838818888e-09,0,0,-0.0030908839883974082,6.0507154842071031e-15,-0.13729202911832417,8.1182580298849317e-06,20
612,0.00092875048899495184,7.0957460992975323e-06,0,0,-0.0017342424550186308,1.5348833315442789e-14,-0.084851350229698141,6.3973062527130458e-06,20
613,0.00039917359969776254,1.612306908134653e-05,0,0,-0.00066832032805308472,1.1768364061026659e-14,-0.040128354570079239,4.4192510193144996e-06,20
614,0.0017268251137582482,7.7643219095222489e-07,0,0,-7.4555964136635566e-05,3.1641356201816961e-15,-0.0099494171976175494,2.2279249366302735e-06,20
615,3.7639591574448563e-05,1.9005835820252604e-06,0,0,-8.8663133055888466e-05,-2.7755575615628914e-15,-0.00017903541507280352,1.7306122386216636e-07,20
616,0.00011588631024603177,4.1397626235047641e-05,0,0,-0.00076145338866950851,-4.4408920985006262e-16,-0.014161727067417473,2.5195595921757233e-06,20
617,0.00078088502372114109,1.5045969258880773e-06,0,0,-0.0020401804373939569,1.1546319456101628e-14,-0.051667734126645826,4.8834135166469197e-06,20
