t,q1,v1,delta,q2,v2,bA,bB
0.69000000000000006,-0.079138350062961743,-3.8857466210781766,0.052749508898123992,-0.021283185772942748,1.5044415855190041,0.41173604167208466,0.50293450324388311
0.70000000000000007,-0.11782726532674616,-3.8520364316787057,0.096653121394512181,-0.0063449465063611099,1.4832062677973321,1.0034453425663807,1.0937010932526079
0.70999999999999996,-0.15604111086250444,-3.7907326754729533,0.13988526412175636,0.0083063647698074609,1.4470559874363067,1.5884727230921398,1.6767300110928758
0.71999999999999997,-0.19344732802454681,-3.6905107569355176,0.18204822203968551,0.022523155775303526,1.3963022136628767,2.1618924965176407,2.2471860580953478
0.72999999999999998,-0.22959058247538874,-3.5381401332328672,0.22264620577605726,0.03616171676665357,1.3314099846069816,2.71754555997253,2.7990330012747968
0.73999999999999999,-0.26388050679441027,-3.3198447305714418,0.26107730645551785,0.049083906830720156,1.2530280282065973,3.2478797016890986,3.3248686837814163
0.75,-0.29559582176618848,-3.0232182637842038,0.2966393713507719,0.061159140930432336,1.1620187917359155,3.7439538212694803,3.815920189107413
0.76000000000000001,-0.32390986991585713,-2.6395913661495203,0.32855386889810145,0.072266652413545726,1.0594835048867994,4.1956628000999743,4.2622553013792723
0.77000000000000002,-0.34794045038883947,-2.1665247284469462,0.35600991483197048,0.08229795243576235,0.94677649955667575,4.5922227150898483,4.6532506424784614
0.78000000000000003,-0.36682244377875661,-1.6098739495364871,0.37822687127817151,0.091159349874059756,0.82550298810266953,4.9229153439938651,4.9783177847724165
0.79000000000000004,-0.37979557693693622,-0.98475268209942901,0.39452878863223456,0.098774344012980353,0.69749583968128537,5.1780288300251041,5.227828185171786
0.80000000000000004,-0.38629350973366416,-0.31483387724616357,0.40441890524231561,0.10508567202466804,0.56476976265614842,5.3498624979742813,5.394109662033495
0.81000000000000005,-0.38601678691944702,0.37017844008959017,0.40763959326988769,0.11005679743603308,0.42945531961723016,5.4336135357051178,5.472335924938319
0.82000000000000006,-0.378973372702337,1.038504403332412,0.40420438995844499,0.11367267101390011,0.29371939595571256,5.4279582541135678,5.461122849123778
0.83000000000000007,-0.36547705228908761,1.6607596793174617,0.39439445663740952,0.11593967712887676,0.1596818270396578,5.3351939795244911,5.3626946486084588
0.83999999999999997,-0.34610406742364491,2.2138372937710802,0.37872029196069451,0.11688478026851959,0.02933880088924589,5.16090764563506,5.1825798250827368
0.84999999999999998,-0.32161830105325334,2.6833159803072335,0.35785770865670985,0.11655398459249272,-0.095497936094936356,4.9132495344578802,4.9289080529653946
0.85999999999999999,-0.2928815591011808,3.0640324101072722,0.33257203785060752,0.11501029209367811,-0.21324056366806768,4.6019747615849917,4.6114649495433069
0.87,-0.26076630223610647,3.3590189629075899,0.30364494306678336,0.1123313786446217,-0.32254212614302535,4.2374446214569392,4.2406947223015825
0.88,-0.22608429010472866,3.577383463367974,0.27181482376155125,0.10860720069261443,-0.42229346425843289,3.8297538407607856,3.8268183245174563
0.89000000000000001,-0.18953836484381645,3.7318015888144687,0.23773656274678528,0.10393770766666215,-0.51160514093207132,3.3880885577396729,3.3791759176782654
0.90000000000000002,-0.15169854912749881,3.8361615544490602,0.20196140008578251,0.098430780479945176,-0.58978029641129059,2.9203512703180912,2.9058343889901357
0.91000000000000003,-0.11299939618572445,3.90366903390581,0.16493429305501245,0.092200458689485384,-0.65628406168072817,2.4330347328244097,2.4134454401803684
0.92000000000000004,-0.073753547766061869,3.9455006500267058,0.1270045621633886,0.085365467762652608,-0.71071412368586073,1.9312961559468089,1.9073075120407266
0.93000000000000005,-0.034176309887556731,3.9699469256743218,0.088445550366560557,0.078048018302684208,-0.75277576830780635,1.4191745037799195,1.391574724470467
0.94000000000000006,0.0055830277033424233,3.9819205925055083,0.049479792447721486,0.070372821618644818,-0.78226356850018364,0.89989980999818275,0.86956113251222689
0.95000000000000007,0.04540616155240166,3.9827061773063384,0.010307203344186238,0.062466248816596681,-0.79905099190947682,0.37625589271426169,0.34410064024480014
0.95999999999999996,0.085169030481980115,3.9698676086093529,-0.02886537705571636,0.054455550958545991,-0.80308857970065572,-0.14903000258614457,-0.18206488002768087
0.96999999999999997,0.12470482965980972,3.9372922269565676,-0.067794543805386132,0.046468053545195245,-0.79441090296946759,-0.67288946971888941,-0.70588872578263862
0.97999999999999998,0.16376837972041403,3.8754177851642941,-0.10617198445083117,0.038630238576657074,-0.77315209073815971,-1.1915249650776367,-1.2236317169735866
0.98999999999999999,0.2020042239619404,3.7717510631409819,-0.14359948732090277,0.031066632193534813,-0.73956918588619069,-1.7000555918378846,-1.7305073147500729
1,0.2389221066982202,3.6118254841149779,-0.17957041251096104,0.023898427333640903,-0.69407178609257225,-2.1922328742924844,-2.220394773309613
1.01,0.27388491157454009,3.3807354911489966,-0.21346188853838438,0.017241791914849872,-0.63725529766569711,-2.6602778668270539,-2.685670394463235
1.02,0.30611507796566095,3.0652977870751705,-0.24454270733061051,0.011205846765832847,-0.56993373213739917,-3.094902975736928,-3.1172190721446427
1.03,0.33472509173921366,2.6567049676353705,-0.27200143050188791,0.0058903452959956784,-0.49316656182976998,-3.4855820377111315,-3.5046891797135928
1.04,0.35877498789205159,2.1532742629322104,-0.29499687874635655,0.0013831465379460391,-0.40827318978018706,-3.8211107685851871,-3.8370338481812802
1.05,0.37735453329173718,1.5626348170049105,-0.31272868367947787,-0.0022423628612064546,-0.31682869005051828,-4.09045059866496,-4.1033345395864398
1.0600000000000001,0.38968061987276498,0.9025824992006457,-0.32451961507382132,-0.0049296871580575474,-0.22063616931968175,-4.2837761614562382,-4.2938318960084736
1.0700000000000001,0.39519354855648309,0.20000323754298013,-0.32989580419504888,-0.0066412406344422163,-0.12167452595701851,-4.393568988025284,-4.4010118079372766
1.0800000000000001,0.39363237054742661,-0.51223883935427106,-0.32864830862855732,-0.0073597382933218887,-0.022025005818538671,-4.4155480056157019,-4.4205413125187309
1.0900000000000001,0.38507176554333511,-1.199882161464026,-0.32086170607395154,-0.0070887861671316589,0.076215431056681132,-4.3492313474850217,-4.3518493115145942
1.1000000000000001,0.36991132700845358,-1.8322055455122754,-0.30690264081772806,-0.0058525950076224083,0.1710228008448702,-4.1979952011629837,-4.1982137973185374
1.1100000000000001,0.34881993782778759,-2.3860722906209189,-0.28737114479176529,-0.0036948549708008308,0.26052520651943067,-3.9686152531397045,-3.9663336240069835
1.1200000000000001,0.32264871092552017,-2.8481730898325632,-0.26302638433412612,-0.00067691380541080664,0.34306302655866494,-3.6704015282428095,-3.6654874180447026
1.1300000000000001,0.29233183802466972,-3.2152014903375292,-0.23470308086890607,0.0031245268067601945,0.41722509587557888,-3.3141220342700208,-3.3064692939679676
1.1400000000000001,0.25879423504991189,-3.4923191046140309,-0.20323419674179474,0.0076199551583959043,0.48186057445175401,-2.910929334895755,-2.9005140503980407
1.1500000000000001,0.22287950527361272,-3.6906268506458035,-0.1693908539609553,0.012709608732391029,0.53607014034722655,-2.4714623024519051,-2.4583867232297592
1.1599999999999999,0.18530441746340628,-3.8243907113954871,-0.13384435192084099,0.018285871733501297,0.57918245987472028,-2.0052203904772847,-1.9897387380078169
1.1699999999999999,0.14663960106694945,-3.9085725678958783,-0.097149840107964652,0.024235396545681409,0.61072250256132343,-1.5202318216779278,-1.5027570633342875
1.1799999999999999,0.10731203216061283,-3.956941213371445,-0.059747888920869192,0.030440897120010215,0.63037761230451672,-1.0229820122972721,-1.0040762743255287
1.1899999999999999,0.067623304226955089,-3.9808043733601028,-0.021978981019542671,0.036782614834335162,0.63796593056043849,-0.51854135275559476,-0.4988943133164232
1.2,0.027777975725630233,-3.9882613269048686,0.015893762939069793,0.043139496110065921,0.63341032458569846,-0.010827710103328444,0.008772638858114773
1.21,-0.012082460673362692,-3.9838259528937163,0.053657268697571134,0.049390146402898245,0.61671973398073843,0.49705070433296372,0.51575144822197894
1.22,-0.051843017366290732,-3.9682853856918929,0.091119089744867904,0.055413639750818332,0.58797893560321113,1.0024113899740463,1.0193299714974298
1.23,-0.0913780007109775,-3.9387112832454605,0.12807750412172542,0.061090269984094669,0.54734711105204581,1.5025986014097286,1.5168587698297789
1.24,-0.13051459517378336,-3.8886076093157147,0.16429236847372397,0.066302331360374139,0.49506516420384877,1.9945878279902298,2.0053556445065821
1.25,-0.16899886519822602,-3.8082463955728163,0.1994581438162368,0.070935013796272331,0.43147132297596363,2.4746116424125444,2.4811309833799808
1.26,-0.2064665896568566,-3.6852984961533015,0.23318117654126264,0.074877490482830336,0.35702401433566761,2.9378313091134274,2.9394578095519361
1.27,-0.24242254802419297,-3.5058931773139719,0.26496430800120885,0.07802426158087665,0.27233020527358226,3.3780902582317038,3.3743216855273399
1.28,-0.27623309118100065,-3.2562154540475645,0.29420285478364372,0.080276794186267861,0.17817631580473878,3.7877987942320326,3.7782986740144389
1.29,-0.30713741488993745,-2.924649287739796,0.32019641365988261,0.081545463407243307,0.075557528390209405,4.1580080378285587,4.1426183894734141
1.3,-0.33428210597747315,-2.504288929767339,0.34218013432172228,0.081751751643502069,-0.034299881139021882,4.4787267988185633,4.4574656680889735
1.3100000000000001,-0.35678054875306614,-1.9953996253512571,0.3593765060939339,0.080830606121832835,-0.14992922319446983,4.7395096605397882,4.7125503877019996
1.3200000000000001,-0.37379354145553351,-1.4071989151422126,0.37106426259822339,0.07873279657388052,-0.26963268639581872,4.9302944717813428,4.8979266587650425
1.3300000000000001,-0.38462093613415271,-0.75828002058162647,0.3766555705928139,0.075427068573818035,-0.39151291361674906,5.042399253132789,5.0049758761952647
1.3400000000000001,-0.38878843001747054,-0.075218756081934651,0.3757680646464408,0.070901868466091381,-0.51352710792867129,5.0695217044016854,5.0274015310505469
1.3500000000000001,-0.38611149348925206,0.61060606172563425,0.36827674827079426,0.065166434869822876,-0.63355961132533922,5.0085471280196359,4.9620446334823392
1.3600000000000001,-0.3767216860510581,1.2673554259131552,0.3543337811993636,0.05825111240001267,-0.74950488263654347,4.859986788816876,4.8093413725330434
1.3700000000000001,-0.36104898411122288,1.8671849620538903,0.33435134025460983,0.050206836121307288,-0.85935037310447304,4.6279434546746998,4.5733153949916145
1.3800000000000001,-0.3397644687905384,2.3897181020830049,0.30895168992027855,0.041103840166572092,-0.96124881784306326,4.3196125238740821,4.2611060501684568
1.3900000000000001,-0.31369682970951318,2.82380971412204,0.27889601685603727,0.031029736475686347,-1.0535719203339344,3.9444356964534308,3.88214242389465
1.4000000000000001,-0.28374050224705638,3.1674557783693209,0.2450069517855295,0.020087169704107156,-1.1349414339817658,3.5130911284501041,3.4471425336819377
1.4099999999999999,-0.25077206575363437,3.4262315203150848,0.20809847749619653,0.0083912728529685534,-1.2042379362457993,3.0365115428714526,2.9671284856593254
1.4199999999999999,-0.21558631919719931,3.6109177909719272,0.16892246552943055,-0.0039328717851171693,-1.2605909913713447,2.5250783255894054,2.4526083798363061
1.4299999999999999,-0.17885686974044926,3.7349721003780818,0.12813561593128389,-0.016752608235146571,-1.3033562986342351,1.9880708932192637,1.9130087523986283
1.4399999999999999,-0.14112045119122577,3.8123116094666196,0.086285988134219352,-0.02992981886160874,-1.332085826658207,1.4333840254259134,1.3563746254612783
1.45,-0.10278073222767112,3.8556321832443095,0.043815540531418326,-0.043322729266140329,-1.3464962542480547,0.86747906431825395,0.78930609377597738
1.46,-0.064126134888238359,3.8752872846422406,0.001074142863912445,-0.056787409621775975,-1.346439816879009,0.29551270970981591,0.21707650772376055
1.47,-0.025356534745186898,3.8786327439680517,-0.041659148509730314,-0.070179010467962738,-1.3318803523583327,-0.27841496451038333,-0.3561261745982362
1.48,0.013385150172186206,3.8697042395065688,-0.084150821012012447,-0.083352793358517752,-1.3028762257525996,-0.8509420450322972,-0.92688448491655684
1.49,0.051979222400612361,3.8491102061786608,-0.12618589426306318,-0.096165029440713687,-1.2595709906866372,-1.4190912764699259,-1.4921994807393331
1.5,0.090295118997766904,3.8140691132522475,-0.16754066853795063,-0.10847384479544021,-1.202192080258647,-1.9799054311540509,-2.0491265375096628
1.51,0.12815835527323077,3.7585781418405242,-0.20795641605113474,-0.12014009225083169,-1.1310574108195421,-2.5300889319010387,-2.594416793362333
1.52,0.16532003371187901,3.6737575458891247,-0.24711534901087401,-0.1310283262601333,-1.0465893910407866,-3.0656727192094233,-3.1241812738117982
1.53,0.20143112241761649,3.5484601952583716,-0.28462076145720988,-0.14100794984680426,-0.94933532629336248,-3.5817248248992231,-3.6335997235761668
1.54,0.23602469765485701,3.3702548521897326,-0.31998405291689341,-0.14995458897037289,-0.83999249842026158,-4.072138798701876,-4.1167054864006749
1.55,0.26851030276704096,3.1268661702470557,-0.35262210113021975,-0.15775172775807034,-0.71943525911932915,-4.5295427249428881,-4.5662882082117635
1.5600000000000001,0.2981849645631755,2.8080661889798497,-0.38186870913471282,-0.16429260601151904,-0.58874039157016478,-4.9453778074584767,-4.973962582222847
1.5700000000000001,0.32426457770420508,2.4078564392260642,-0.40700307174950229,-0.16948233801431115,-0.44920600898847818,-5.3101906074746044,-5.3304471500737813
